,VOC,JSC,FF,PCE,Electrolyte,Active area,Co-adsorbent,Co-sensitizer,Semiconductor,Dye loading,Exposure time,Solar simulator,Performance comment,Article author,Article title,Article journal,Article volume,Article DOI,Article pages,Article issue nr,Article EID,Article year,Article year.1,Article electronic id,Article keywords,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent
313,829.0,12.38,0.655,6.72,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um as the transparent layer and 3 um of 200 nm particles as the scattering layer),4710 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Hongda Wang and Dandan Huang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,New phenothiazine-based dyes for efficient dye-sensitized solar cells: Positioning effect of a donor group on the cell performance,Journal of Power Sources,243,10.1016/j.jpowsour.2013.05.157,253--259,,,01/01/2013,Hua_2013,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1n2CCCCCC,phenothiazine,473.0,,Dichloromethane
314,767.0,12.43,0.643,6.13,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um as the transparent layer and 3 um of 200 nm particles as the scattering layer),2770 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Hongda Wang and Dandan Huang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,New phenothiazine-based dyes for efficient dye-sensitized solar cells: Positioning effect of a donor group on the cell performance,Journal of Power Sources,243,10.1016/j.jpowsour.2013.05.157,253--259,,,01/01/2013,Hua_2013,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1C2(CCCCCC)CCCCCC,phenothiazine,465.0,,Dichloromethane
315,742.0,9.68,0.713,5.12,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um as the transparent layer and 3 um of 200 nm particles as the scattering layer),4280 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Hongda Wang and Dandan Huang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,New phenothiazine-based dyes for efficient dye-sensitized solar cells: Positioning effect of a donor group on the cell performance,Journal of Power Sources,243,10.1016/j.jpowsour.2013.05.157,253--259,,,01/01/2013,Hua_2013,,,CCCCCCn1c2ccccc2c2c1cc(cc2)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,481.0,,Dichloromethane
316,748.0,7.62,0.698,3.98,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um as the transparent layer and 3 um of 200 nm particles as the scattering layer),3210 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Hongda Wang and Dandan Huang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,New phenothiazine-based dyes for efficient dye-sensitized solar cells: Positioning effect of a donor group on the cell performance,Journal of Power Sources,243,10.1016/j.jpowsour.2013.05.157,253--259,,,01/01/2013,Hua_2013,,,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cccc2)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,478.0,,Dichloromethane
317,682.0,10.115,0.642,4.43,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um as the transparent layer and 3 um of 200 nm particles as the scattering layer),5350 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Hongda Wang and Dandan Huang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,New phenothiazine-based dyes for efficient dye-sensitized solar cells: Positioning effect of a donor group on the cell performance,Journal of Power Sources,243,10.1016/j.jpowsour.2013.05.157,253--259,,,01/01/2013,Hua_2013,,,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C(\C(=O)O)/C#N,phenothiazine,460.0,,Dichloromethane
318,660.0,4.83,0.74,2.4,Iodide_Triiodide,0.158,-,-,"TiO2 thin film (7 um of 20 nm particles as
the transparent layer and 5 um of 400 nm particles as the scattering layer)",31 nmol/cm2,10 hours,AM 1.5G 100mW/cm2,-,Haijun Tan and Chunyue Pan and Gang Wang and Yingying Wu and Yiping Zhang and Guipeng Yu and Min Zhang,A comparative study on properties of two phenoxazine-based dyes for dye-sensitized solar cells,Dyes and Pigments,101,10.1016/j.dyepig.2013.09.039,67--73,,,01/01/2014,Tan_2014,,,N#C/C(=C/c1ccc(s1)c1ccc(cc1)N1c2ccccc2Oc2c1cccc2)/C(=O)O,phenoxazine,371.0,418.0,THF
325,690.0,13.2,0.62,5.63,Iodide_Triiodide,0.25,-,-,TiO2 thin film (16-18 um),-,12 hours,AM 1.5G 100mW/cm2,-,Yuan Jay Chang and Po-Ting Chou and Yan-Zuo Lin and Motonori Watanabe and Chih-Jen Yang and Tsung-Mei Chin and Tahsin J. Chow,Organic dyes containing oligo-phenothiazine for dye-sensitized solar cells,Journal of Materials Chemistry,22,10.1039/c2jm35556f,21704,40,,01/01/2012,Chang_2012,,,CCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,477.0,676.0,Dichloromethane
326,680.0,12.91,0.62,5.45,Iodide_Triiodide,0.25,-,-,TiO2 thin film (16-18 um),-,12 hours,AM 1.5G 100mW/cm2,-,Yuan Jay Chang and Po-Ting Chou and Yan-Zuo Lin and Motonori Watanabe and Chih-Jen Yang and Tsung-Mei Chin and Tahsin J. Chow,Organic dyes containing oligo-phenothiazine for dye-sensitized solar cells,Journal of Materials Chemistry,22,10.1039/c2jm35556f,21704,40,,01/01/2012,Chang_2012,,,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,438.0,,THF
327,826.0,12.18,0.65,6.55,Iodide_Triiodide,0.16,-,-,TiO2 thin film (20 nm particle size),410 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Chengjian Chen and Jin-Yun Liao and Zhenguo Chi and Bingjia Xu and Xiqi Zhang and Dai-Bin Kuang and Yi Zhang and Siwei Liu and Jiarui Xu,Metal-free organic dyes derived from triphenylethylene for dye-sensitized solar cells: tuning of the performance by phenothiazine and carbazole,Journal of Materials Chemistry,22,10.1039/c2jm30254c,8994,18,,01/01/2012,Chen_2012,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2,phenothiazine,466.0,629.0,Dichloromethane
328,793.0,10.76,0.64,5.51,Iodide_Triiodide,0.16,-,-,TiO2 thin film (20 nm particle size),340 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Chengjian Chen and Jin-Yun Liao and Zhenguo Chi and Bingjia Xu and Xiqi Zhang and Dai-Bin Kuang and Yi Zhang and Siwei Liu and Jiarui Xu,Metal-free organic dyes derived from triphenylethylene for dye-sensitized solar cells: tuning of the performance by phenothiazine and carbazole,Journal of Materials Chemistry,22,10.1039/c2jm30254c,8994,18,,01/01/2012,Chen_2012,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)n1c2ccccc2c2c1cccc2,phenothiazine,462.0,537.0,Dichloromethane
329,711.0,5.27,0.72,2.69,Iodide_Triiodide,0.16,-,-,TiO2 thin film (20 nm particle size),210 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Chengjian Chen and Jin-Yun Liao and Zhenguo Chi and Bingjia Xu and Xiqi Zhang and Dai-Bin Kuang and Yi Zhang and Siwei Liu and Jiarui Xu,Metal-free organic dyes derived from triphenylethylene for dye-sensitized solar cells: tuning of the performance by phenothiazine and carbazole,Journal of Materials Chemistry,22,10.1039/c2jm30254c,8994,18,,01/01/2012,Chen_2012,,,CCCCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2,phenothiazine,412.0,538.0,Dichloromethane
330,804.0,11.41,0.63,5.76,Iodide_Triiodide,0.16,-,-,TiO2 thin film (20 nm particle size),-,-,AM 1.5G 100mW/cm2,-,Chengjian Chen and Jin-Yun Liao and Zhenguo Chi and Bingjia Xu and Xiqi Zhang and Dai-Bin Kuang and Yi Zhang and Siwei Liu and Jiarui Xu,Effect of polyphenyl-substituted ethylene end-capped groups in metal-free organic dyes on performance of dye-sensitized solar cells,{RSC} Advances,2,10.1039/c2ra20819a,7788,20,,01/01/2012,Chen_2012,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C(=C(c1ccccc1)c1ccccc1)c1ccccc1,phenothiazine,474.0,,Dichloromethane
331,789.0,12.62,0.63,6.29,Iodide_Triiodide,0.16,-,-,TiO2 thin film (20 nm particle size),-,-,AM 1.5G 100mW/cm2,-,Chengjian Chen and Jin-Yun Liao and Zhenguo Chi and Bingjia Xu and Xiqi Zhang and Dai-Bin Kuang and Yi Zhang and Siwei Liu and Jiarui Xu,Effect of polyphenyl-substituted ethylene end-capped groups in metal-free organic dyes on performance of dye-sensitized solar cells,{RSC} Advances,2,10.1039/c2ra20819a,7788,20,,01/01/2012,Chen_2012,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccccc1)c1ccccc1,phenothiazine,474.0,,Dichloromethane
332,759.0,11.82,0.65,5.84,Iodide_Triiodide,0.16,-,-,TiO2 thin film (20 nm particle size),-,-,AM 1.5G 100mW/cm2,-,Chengjian Chen and Jin-Yun Liao and Zhenguo Chi and Bingjia Xu and Xiqi Zhang and Dai-Bin Kuang and Yi Zhang and Siwei Liu and Jiarui Xu,Effect of polyphenyl-substituted ethylene end-capped groups in metal-free organic dyes on performance of dye-sensitized solar cells,{RSC} Advances,2,10.1039/c2ra20819a,7788,20,,01/01/2012,Chen_2012,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)/C=C/c1ccccc1,phenothiazine,471.0,,Dichloromethane
333,759.0,5.94,0.64,3.61,Iodide_Triiodide,0.16,-,-,TiO2 thin film (14 um transparent layer and 4 um scattering layer),98 nmol/cm2,12 hours,AM 1.5G 100mW/cm2,-,Yanping Hong and Zafar Iqbal and Xiaoli Yin and Derong Cao,Synthesis of double D{\textendash}A branched organic dyes employing indole and phenoxazine as donors for efficient {DSSCs},Tetrahedron,70,10.1016/j.tet.2014.03.086,6296--6302,36,,01/01/2014,Hong_2014,,,CCCCCCN1c2ccc(cc2Oc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,474.0,471.0,THF
334,743.0,6.81,0.62,3.92,Iodide_Triiodide,0.16,-,-,TiO2 thin film (14 um transparent layer and 4 um scattering layer),205 nmol/cm2,12 hours,AM 1.5G 100mW/cm2,-,Yanping Hong and Zafar Iqbal and Xiaoli Yin and Derong Cao,Synthesis of double D{\textendash}A branched organic dyes employing indole and phenoxazine as donors for efficient {DSSCs},Tetrahedron,70,10.1016/j.tet.2014.03.086,6296--6302,36,,01/01/2014,Hong_2014,,,N#C/C(=C\c1ccc2c(c1)Oc1c(N2CCCCCCN2c3ccccc3Oc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,476.0,576.0,THF
335,759.0,12.2,0.58,5.3,Iodide_Triiodide,0.4,-,-,TiO2 thin film (14.5 uM),-,5 hours,AM 1.5G 100mW/cm2,-,Mi-Jeong Kim and Yong-Jae Yu and Jong-Hyung Kim and Young-Sam Jung and Kwang-Yol Kay and Soo-Byung Ko and Chang-Ryul Lee and In-Hyuk Jang and Young-Uk Kwon and Nam-Gyu Park,Tuning of spacer groups in organic dyes for efficient inhibition of charge recombination in dye-sensitized solar cells,Dyes and Pigments,95,10.1016/j.dyepig.2012.04.002,134--141,1,,01/01/2012,Kim_2012,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C=C\c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,468.0,,Dichloromethane
336,746.0,14.1,0.58,6.1,Iodide_Triiodide,0.457,-,-,TiO2 thin film (14.5 uM),-,5 hours,AM 1.5G 100mW/cm2,-,Mi-Jeong Kim and Yong-Jae Yu and Jong-Hyung Kim and Young-Sam Jung and Kwang-Yol Kay and Soo-Byung Ko and Chang-Ryul Lee and In-Hyuk Jang and Young-Uk Kwon and Nam-Gyu Park,Tuning of spacer groups in organic dyes for efficient inhibition of charge recombination in dye-sensitized solar cells,Dyes and Pigments,95,10.1016/j.dyepig.2012.04.002,134--141,1,,01/01/2012,Kim_2012,,,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1,phenothiazine,476.0,,Dichloromethane
340,673.0,4.1,0.63,1.74,Iodide_Triiodide,0.2,-,-,TiO2 6 um thick,173 nmol/cm2,24 hours,AM 1.5G 100mW/cm2,-,Bhanumathi Nagarajan and Suman Kushwaha and Ramachandran Elumalai and Sudip Mandal and Kothandaraman Ramanujam and Dhamodharan Raghavachari,Novel ethynyl-pyrene substituted phenothiazine based metal free organic dyes in {DSSC} with 12{\%} conversion efficiency,J. Mater. Chem. A,5,10.1039/c7ta01744h,10289--10300,21,,01/01/2017,Nagarajan_2017,,,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,phenothiazine,476.0,,acetonitrile
341,559.0,5.93,0.676,2.24,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um of 20 nm particles as the transparent layer and 6 um of 200 nm particles as the scattering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Jian He and Caishun Zhang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Molecular Engineering of Simple Phenothiazine-Based Dyes To Modulate Dye Aggregation, Charge Recombination, and Dye Regeneration in Highly Efficient Dye-Sensitized Solar Cells",Chemistry - A European Journal,20,10.1002/chem.201304897,6300--6308,21,,01/01/2014,Hua_2014,,,CCCCCCc1sc(c2c1OCCO2)c1sc(c2c1OCCO2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,489.0,,Dichloromethane
342,672.0,12.01,0.696,5.62,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um of 20 nm particles as the transparent layer and 6 um of 200 nm particles as the scattering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Jian He and Caishun Zhang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Molecular Engineering of Simple Phenothiazine-Based Dyes To Modulate Dye Aggregation, Charge Recombination, and Dye Regeneration in Highly Efficient Dye-Sensitized Solar Cells",Chemistry - A European Journal,20,10.1002/chem.201304897,6300--6308,21,,01/01/2014,Hua_2014,,,CCCCCCc1sc(c2c1OCCO2)c1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,481.0,,Dichloromethane
343,717.0,16.13,0.681,7.87,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um of 20 nm particles as the transparent layer and 6 um of 200 nm particles as the scattering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Jian He and Caishun Zhang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Molecular Engineering of Simple Phenothiazine-Based Dyes To Modulate Dye Aggregation, Charge Recombination, and Dye Regeneration in Highly Efficient Dye-Sensitized Solar Cells",Chemistry - A European Journal,20,10.1002/chem.201304897,6300--6308,21,,01/01/2014,Hua_2014,,,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,470.0,,Dichloromethane
344,746.0,16.65,0.642,7.98,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um of 20 nm particles as the transparent layer and 6 um of 200 nm particles as the scattering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Jian He and Caishun Zhang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Molecular Engineering of Simple Phenothiazine-Based Dyes To Modulate Dye Aggregation, Charge Recombination, and Dye Regeneration in Highly Efficient Dye-Sensitized Solar Cells",Chemistry - A European Journal,20,10.1002/chem.201304897,6300--6308,21,,01/01/2014,Hua_2014,,,CCCCCCc1sc(c2c1OCCO2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,466.0,,Dichloromethane
345,783.0,15.18,0.679,8.07,Iodide_Triiodide,0.24,-,-,TiO2 thin film (12 um of 20 nm particles as the transparent layer and 6 um of 200 nm particles as the scattering layer),-,16 hours,AM 1.5G 100mW/cm2,-,Yong Hua and Shuai Chang and Jian He and Caishun Zhang and Jianzhang Zhao and Tao Chen and Wai-Yeung Wong and Wai-Kwok Wong and Xunjin Zhu,"Molecular Engineering of Simple Phenothiazine-Based Dyes To Modulate Dye Aggregation, Charge Recombination, and Dye Regeneration in Highly Efficient Dye-Sensitized Solar Cells",Chemistry - A European Journal,20,10.1002/chem.201304897,6300--6308,21,,01/01/2014,Hua_2014,,,CCCCCCc1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,457.0,,Dichloromethane
346,802.0,10.35,0.69,5.73,Iodide_Triiodide,0.16,-,-,TiO2 thin film (18 um thickness),126 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Zafar Iqbal and Wu-Qiang Wu and Dai-Bin Kuang and Lingyun Wang and Herbert Meier and Derong Cao,Phenothiazine-based dyes with bilateral extension of $\uppi$-conjugation for efficient dye-sensitized solar cells,Dyes and Pigments,96,10.1016/j.dyepig.2012.11.010,722--731,3,,01/01/2013,Iqbal_2013,,,CCCCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,459.0,570.0,THF/DCM (1:1)
347,768.0,8.47,0.7,4.54,Iodide_Triiodide,0.16,-,-,TiO2 thin film (18 um thickness),103 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Zafar Iqbal and Wu-Qiang Wu and Dai-Bin Kuang and Lingyun Wang and Herbert Meier and Derong Cao,Phenothiazine-based dyes with bilateral extension of $\uppi$-conjugation for efficient dye-sensitized solar cells,Dyes and Pigments,96,10.1016/j.dyepig.2012.11.010,722--731,3,,01/01/2013,Iqbal_2013,,,CCCCCCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,428.0,552.0,THF/DCM (1:1)
348,785.0,8.65,0.71,4.79,Iodide_Triiodide,0.16,-,-,TiO2 thin film (18 um thickness),112 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Zafar Iqbal and Wu-Qiang Wu and Dai-Bin Kuang and Lingyun Wang and Herbert Meier and Derong Cao,Phenothiazine-based dyes with bilateral extension of $\uppi$-conjugation for efficient dye-sensitized solar cells,Dyes and Pigments,96,10.1016/j.dyepig.2012.11.010,722--731,3,,01/01/2013,Iqbal_2013,,,CCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,459.0,566.0,THF/DCM (1:1)
349,773.0,8.56,0.69,4.53,Iodide_Triiodide,0.16,-,-,TiO2 thin film (18 um thickness),210 nmol/cm2,16 hours,AM 1.5G 100mW/cm2,-,Zafar Iqbal and Wu-Qiang Wu and Dai-Bin Kuang and Lingyun Wang and Herbert Meier and Derong Cao,Phenothiazine-based dyes with bilateral extension of $\uppi$-conjugation for efficient dye-sensitized solar cells,Dyes and Pigments,96,10.1016/j.dyepig.2012.11.010,722--731,3,,01/01/2013,Iqbal_2013,,,COc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,420.0,550.0,THF/DCM (1:1)
353,682.0,14.43,0.69,6.79,Iodide_Triiodide,0.2,-,-,TiO2 thin film (12 um of 15-20 nm particles as the transparent layer and 4 um of 300-500 nm particles as the scattering layer),-,-,AM 1.5G 100mW/cm2,-,Zhongquan Wan and Chunyang Jia and Yandong Duan and Linlei Zhou and Yuan Lin and Yu Shi,Phenothiazine{\textendash}triphenylamine based organic dyes containing various conjugated linkers for efficient dye-sensitized solar cells,Journal of Materials Chemistry,22,10.1039/c2jm34682f,25140,48,,01/01/2012,Wan_2012,,,N#C/C(=C\c1ccc(o1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,421.0,,Acetonitrile
354,680.0,12.64,0.7,6.02,Iodide_Triiodide,0.2,-,-,TiO2 thin film (12 um of 15-20 nm particles as the transparent layer and 4 um of 300-500 nm particles as the scattering layer),-,-,AM 1.5G 100mW/cm2,-,Zhongquan Wan and Chunyang Jia and Yandong Duan and Linlei Zhou and Yuan Lin and Yu Shi,Phenothiazine{\textendash}triphenylamine based organic dyes containing various conjugated linkers for efficient dye-sensitized solar cells,Journal of Materials Chemistry,22,10.1039/c2jm34682f,25140,48,,01/01/2012,Wan_2012,,,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,406.0,,Acetonitrile
355,635.0,10.86,0.71,4.9,Iodide_Triiodide,0.2,-,-,TiO2 thin film (12 um of 15-20 nm particles as the transparent layer and 4 um of 300-500 nm particles as the scattering layer),-,-,AM 1.5G 100mW/cm2,-,Zhongquan Wan and Chunyang Jia and Yandong Duan and Linlei Zhou and Yuan Lin and Yu Shi,Phenothiazine{\textendash}triphenylamine based organic dyes containing various conjugated linkers for efficient dye-sensitized solar cells,Journal of Materials Chemistry,22,10.1039/c2jm34682f,25140,48,,01/01/2012,Wan_2012,,,N#C/C(=C\c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,385.0,,Acetonitrile
356,691.0,12.75,0.69,6.06,Iodide_Triiodide,-,-,-,TiO2 thin film (20 nm particle size),156 nmol/cm2,15 hours,AM 1.5G 100mW/cm2,-,Yanping Hong and Jin-Yun Liao and Derong Cao and Xufeng Zang and Dai-Bin Kuang and Lingyun Wang and Herbert Meier and Cheng-Yong Su,Organic Dye Bearing Asymmetric Double Donor-$\uppi$-Acceptor Chains for Dye-Sensitized Solar Cells,The Journal of Organic Chemistry,76,10.1021/jo201057b,8015--8021,19,,01/01/2011,Hong_2011,,,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Oc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,phenoxazine,511.0,568.0,MeOH/CH2Cl2 (1:1)
357,709.0,6.13,0.67,2.91,Iodide_Triiodide,0.237,-,-,TiO2 thin film (15 um),244 nmol/cm2,12 hours,AM 1.5G 100mW/cm2,-,Derong Cao and Jinan Peng and Yanping Hong and Xiaoming Fang and Lingyun Wang and Herbert Meier,Enhanced Performance of the Dye-Sensitized Solar Cells with Phenothiazine-Based Dyes Containing Double D-A Branches,Organic Letters,13,10.1021/ol2000167,1610--1613,7,,01/01/2011,Cao_2011,,,CCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,439.0,586.0,THF
358,610.0,9.99,0.71,4.36,Iodide_Triiodide,0.25 cm2,-,-,TiO2 film (11 uM  + 4 uM thick),-,2 hours,AM 1.5G 100mW/cm2,-,Chang Young Jung and Cheol Jun Song and Wang Yao and Jong Min Park and In Ho Hyun and Dong Hoon Seong and Jae Yun Jaung,Synthesis and performance of new quinoxaline-based dyes for dye sensitized solar cell,Dyes and Pigments,121,10.1016/j.dyepig.2015.05.019,204--210,,,01/01/2015,Jung_2015,,,CC(CCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)/C=C/c1nc2cc(ccc2nc1/C=C/c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCC(C)C)cccc1)C(=O)O)C,phenothiazine,477.0,,chloroform
360,693.8,11.29,0.6938,5.43,Iodide_Triiodide,0.24,-,-,TiO2 thin film (20 nm particles with scattering layer containing 250 nm particles),-,-,AM 1.5G 100mW/cm2,-,Se Hun Kim and Hyun Woo Kim and Chun Sakong and Jinwoong Namgoong and Se Woong Park and Min Jae Ko and Choong Hyuk Lee and Wan In Lee and Jae Pil Kim,Effect of Five-Membered Heteroaromatic Linkers to the Performance of Phenothiazine-Based Dye-Sensitized Solar Cells,Organic Letters,13,10.1021/ol2023517,5784--5787,21,,01/01/2011,Kim_2011,,,CCCCN1c2ccc(cc2Sc2c1cccc2)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N,phenothiazine,466.0,546.0,dichloromethane
361,706.6,11.33,0.6693,5.36,Iodide_Triiodide,0.24,-,-,TiO2 thin film (20 nm particles with scattering layer containing 250 nm particles),-,-,AM 1.5G 100mW/cm2,-,Se Hun Kim and Hyun Woo Kim and Chun Sakong and Jinwoong Namgoong and Se Woong Park and Min Jae Ko and Choong Hyuk Lee and Wan In Lee and Jae Pil Kim,Effect of Five-Membered Heteroaromatic Linkers to the Performance of Phenothiazine-Based Dye-Sensitized Solar Cells,Organic Letters,13,10.1021/ol2023517,5784--5787,21,,01/01/2011,Kim_2011,,,CCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,448.0,634.0,dichloromethane
363,734.6,11.9,0.689,6.02,Iodide_Triiodide,0.24,-,-,TiO2 thin film (20 nm particles with scattering layer containing 250 nm particles),-,-,AM 1.5G 100mW/cm2,-,Se Hun Kim and Hyun Woo Kim and Chun Sakong and Jinwoong Namgoong and Se Woong Park and Min Jae Ko and Choong Hyuk Lee and Wan In Lee and Jae Pil Kim,Effect of Five-Membered Heteroaromatic Linkers to the Performance of Phenothiazine-Based Dye-Sensitized Solar Cells,Organic Letters,13,10.1021/ol2023517,5784--5787,21,,01/01/2011,Kim_2011,,,CCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(o1)/C=C(/C(=O)O)\C#N,phenothiazine,442.0,641.0,dichloromethane
