,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE
277,CCCCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,460.0,611.0,THF/DCM (1:1),741.0,12.47,0.68,6.32
279,CCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)O,phenothiazine,446.0,572.0,THF/DCM (1:1),677.0,11.28,0.69,5.23
280,CCCCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,453.0,568.0,THF/DCM (1:1),715.0,14.37,0.66,6.82
281,CCCCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1cccs1,phenothiazine,456.0,560.0,THF/DCM (1:1),633.0,12.35,0.66,5.12
282,CCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,433.0,561.0,THF/DCM (1:1),721.0,13.35,0.66,6.34
286,N#C/C(=C\c1ccc2c(c1)c1ccccc1n2CCCCCCc1ccc(c(c1)Nc1ccccc1)/C=C(/C(=O)O)\C#N)/C(=O)O,phenothiazine,403.0,509.0,CH2Cl2/MeOH (1:1),715.0,5.73,0.69,2.82
287,CCCCN1c2ccc(cc2Sc2c1cc(SC)cc2)/C=C(/C(=O)O)\C#N,phenothiazine,451.0,644.0,Dichloromethane,768.0,11.2,0.75,6.53
288,CCCCN1c2ccc(cc2Sc2c1cc(SC)cc2)/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,478.0,665.0,Dichloromethane,691.0,15.2,0.7,7.44
289,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC,phenothiazine,460.0,,Dichloromethane,584.0,9.43,0.69,3.78
290,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,phenothiazine,450.0,,Dichloromethane,592.0,10.84,0.69,4.41
291,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccccc1)c1ccccc1,phenothiazine,449.0,,Dichloromethane,505.0,7.39,0.68,2.48
295,N#C/C(=C\c1ccc2c(c1)Sc1c(N2C)ccc(c1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,phenothiazine,437.0,,THF,660.0,11.12,0.63,4.6
296,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1,phenothiazine,453.0,,THF,670.0,13.66,0.61,5.6
297,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1,phenothiazine,463.0,,THF,570.0,5.99,0.6,2.04
298,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)c1ccc(s1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1,phenothiazine,442.0,,THF,690.0,14.42,0.63,6.22
299,N#C/C(=C\c1ccc2c(c1)Sc1c(N2c2ccc(cc2)C(c2ccc(cc2)C)c2ccc(cc2)C)ccc(c1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,phenothiazine,474.0,,THF,710.0,11.65,0.63,5.22
300,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)N(c2ccc(cc2)C)c2ccc(cc2)C)ccc(c1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,phenothiazine,480.0,,THF,630.0,10.9,0.62,4.24
301,N#C/C(=C\c1ccc2c(c1)Sc1c(N2c2ccc(cc2)N(c2ccc(cc2)C)c2ccc(cc2)C)ccc(c1)c1ccc(s1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,phenothiazine,472.0,,THF,710.0,11.12,0.61,4.8
308,CCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,464.0,,Dichloromethane,723.0,14.97,0.635,6.87
309,CCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,474.0,,Dichloromethane,775.0,15.32,0.6890000000000001,8.18
310,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,phenothiazine,449.0,,Dichloromethane,797.0,14.75,0.687,8.08
312,CCCCCCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,phenothiazine,458.0,,Dichloromethane,799.0,13.31,0.7120000000000001,7.57
313,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1n2CCCCCC,phenothiazine,473.0,,Dichloromethane,829.0,12.38,0.655,6.72
314,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1C2(CCCCCC)CCCCCC,phenothiazine,465.0,,Dichloromethane,767.0,12.43,0.643,6.13
315,CCCCCCn1c2ccccc2c2c1cc(cc2)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,481.0,,Dichloromethane,742.0,9.68,0.713,5.12
316,CCCCCCC1(CCCCCC)c2cc(ccc2c2c1cccc2)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,478.0,,Dichloromethane,748.0,7.62,0.698,3.98
317,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C(\C(=O)O)/C#N,phenothiazine,460.0,,Dichloromethane,682.0,10.115,0.642,4.43
325,CCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,477.0,676.0,Dichloromethane,690.0,13.2,0.62,5.63
326,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,438.0,,THF,680.0,12.91,0.62,5.45
327,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2,phenothiazine,466.0,629.0,Dichloromethane,826.0,12.18,0.65,6.55
328,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)n1c2ccccc2c2c1cccc2,phenothiazine,462.0,537.0,Dichloromethane,793.0,10.76,0.64,5.51
329,CCCCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2,phenothiazine,412.0,538.0,Dichloromethane,711.0,5.27,0.72,2.69
330,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C(=C(c1ccccc1)c1ccccc1)c1ccccc1,phenothiazine,474.0,,Dichloromethane,804.0,11.41,0.63,5.76
331,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccccc1)c1ccccc1,phenothiazine,474.0,,Dichloromethane,789.0,12.62,0.63,6.29
332,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)/C=C/c1ccccc1,phenothiazine,471.0,,Dichloromethane,759.0,11.82,0.65,5.84
333,CCCCCCN1c2ccc(cc2Oc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,474.0,471.0,THF,759.0,5.94,0.64,3.61
334,N#C/C(=C\c1ccc2c(c1)Oc1c(N2CCCCCCN2c3ccccc3Oc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,476.0,576.0,THF,743.0,6.81,0.62,3.92
335,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C=C\c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,468.0,,Dichloromethane,759.0,12.2,0.58,5.3
336,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1,phenothiazine,476.0,,Dichloromethane,746.0,14.1,0.58,6.1
340,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,phenothiazine,476.0,,acetonitrile,673.0,4.1,0.63,1.74
341,CCCCCCc1sc(c2c1OCCO2)c1sc(c2c1OCCO2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,489.0,,Dichloromethane,559.0,5.93,0.6759999999999999,2.24
342,CCCCCCc1sc(c2c1OCCO2)c1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,481.0,,Dichloromethane,672.0,12.01,0.696,5.62
343,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,470.0,,Dichloromethane,717.0,16.13,0.6809999999999999,7.87
344,CCCCCCc1sc(c2c1OCCO2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,466.0,,Dichloromethane,746.0,16.65,0.642,7.98
345,CCCCCCc1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,457.0,,Dichloromethane,783.0,15.18,0.679,8.07
346,CCCCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,459.0,570.0,THF/DCM (1:1),802.0,10.35,0.69,5.73
347,CCCCCCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,428.0,552.0,THF/DCM (1:1),768.0,8.47,0.7,4.54
348,CCCCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,459.0,566.0,THF/DCM (1:1),785.0,8.65,0.71,4.79
349,COc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,420.0,550.0,THF/DCM (1:1),773.0,8.56,0.69,4.53
353,N#C/C(=C\c1ccc(o1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,421.0,,Acetonitrile,682.0,14.43,0.69,6.79
354,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,406.0,,Acetonitrile,680.0,12.64,0.7,6.02
355,N#C/C(=C\c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,385.0,,Acetonitrile,635.0,10.86,0.71,4.9
357,CCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,439.0,586.0,THF,709.0,6.13,0.67,2.91
358,CC(CCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)/C=C/c1nc2cc(ccc2nc1/C=C/c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCC(C)C)cccc1)C(=O)O)C,phenothiazine,477.0,,chloroform,610.0,9.99,0.71,4.36
360,CCCCN1c2ccc(cc2Sc2c1cccc2)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N,phenothiazine,466.0,546.0,dichloromethane,693.8,11.29,0.6938,5.43
361,CCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,448.0,634.0,dichloromethane,706.6,11.33,0.6693,5.36
363,CCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(o1)/C=C(/C(=O)O)\C#N,phenothiazine,442.0,641.0,dichloromethane,734.6,11.9,0.6890000000000001,6.02
369,COCCOCCOCCN1c2ccccc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N,phenothiazine,,,-,660.0,8.36,0.74,4.07
370,OCCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,,,-,650.0,8.03,0.75,3.88
371,N#C/C(=C\c1ccc2c(c1)Sc1c(N2C)cccc1)/C(=O)O,phenothiazine,,,-,660.0,6.5,0.75,3.21
372,N#C/C(=C\c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,408.0,,dichloromethane,587.0,4.45,0.7,1.83
381,CCCCCCN(c1ccccc1)c1ccc(cc1)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N,phenothiazine,463.0,599.0,CH2Cl2/MeOH (1:1),655.0,8.2,0.71,3.8
404,CCCCCCCCCCCCC1(CCCCCCCCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)Sc1c(N2CCCC)cccc1)/C=C(/C(=O)O)\C#N,phenothiazine,532.0,610.0,dichloromethane,774.0,12.9,0.7,7.0
405,N#C/C(=C/c1ccc(s1)/C=C/c1ccc2c(c1)Sc1c(N2)cc(cc1)SC)/C(=O)O,phenothiazine,,,-,691.0,15.2,0.7,7.4
407,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)C=C(C(=O)O)C#N,phenothiazine,449.0,645.0,THF,694.0,10.84,0.7240000000000001,5.4
409,CCCCCCc1ccc(s1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)C=C(C(=O)O)C#N,phenothiazine,444.0,645.0,THF,645.0,9.19,0.725,4.3
410,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,498.0,,dichloromethane,645.0,14.71,0.6729999999999999,6.4
412,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc2c(c1)c1ccccc1n2CCCCCC,phenothiazine,512.0,,dichloromethane,697.0,12.52,0.68,5.93
413,N#C/C(=C/c1ccc2c(c1)Sc1c(N2CCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,417.0,,Dimethylformamide,628.0,10.32,0.6022,3.91
414,N#C/C(=C\c1ccc2c(c1)Sc1c(N2CCCCCOc2ccc(cc2)[C@@](c2ccc(cc2)OCCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(\C(=O)O)/C#N)(c2ccc(cc2)OCCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)C)cccc1)/C(=O)O,phenothiazine,413.0,,Dimethylformamide,681.0,11.96,0.6015,4.9
415,CCCCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,439.0,,DCM/THF (1:1),758.0,9.01,0.71,4.87
416,CCCCCCCCN1[C@H]2CC=C(C=C2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1c2ccc(c1)c1ccc2c(c1)N(CCCCCCCC)c1c(S2)cc(cc1)/C=C(/C(=O)O)\C#N,phenothiazine,458.0,,DCM/THF (1:1),726.0,11.73,0.67,5.7
417,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)c1ccc(s1)c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1c2ccc(c1)c1ccc(s1)c1ccc2c(c1)N(CCCCCCCC)c1c(S2)cc(cc1)/C=C(\C(=O)O)/C#N,phenothiazine,450.0,,DCM/THF (1:1),740.0,9.69,0.59,4.21
418,CCCCCCOc1c2cc(ccc2c(c2c1ccc(c2)/C=C(/C(=O)O)\C#N)OCCCCCC)N(c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)c1ccccc1,phenothiazine,494.0,558.0,THF,600.0,7.23,0.64,2.77
419,CCCCCCOc1c2cc(ccc2c(c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)OCCCCCC)N(c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)c1ccccc1,phenothiazine,504.0,565.0,THF,640.0,11.47,0.63,4.64
420,CCCCCCOc1c2cc(ccc2c(c2c1cccc2)OCCCCCC)N(c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccccc1,phenothiazine,440.0,559.0,THF,730.0,15.14,0.65,7.13
421,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N)N(c1ccc2c(c1)c(OCCCCCC)c1c(c2OCCCCCC)cccc1)c1ccccc1,phenothiazine,448.0,560.0,THF,700.0,12.43,0.65,5.73
422,CCCCCCOc1c2cc(ccc2c(c2c1cccc2)OCCCCCC)N(c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N)c1ccccc1,phenothiazine,422.0,546.0,THF,610.0,10.37,0.65,4.09
439,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1nc2c(n1c1ccccc1)cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,438.0,562.0,THF,606.4,9.09,0.66,3.66
440,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1nc2c(n1c1ccccc1)cccc2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,459.0,584.0,THF,604.4,9.26,0.64,3.6
441,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1nc2c(n1c1ccccc1)cccc2)c1ccc(cc1)/C=C(\C(=O)O)/C#N,phenothiazine,402.0,539.0,THF,646.1,7.47,0.69,3.31
442,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1nc2c(n1c1ccccc1)cccc2)c1ccc(s1)c1ccc(cc1)/C=C(\C(=O)O)/C#N,phenothiazine,399.0,538.0,THF,630.2,7.53,0.68,3.24
443,CCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,phenothiazine,444.0,572.0,THF,519.1,5.46,0.58,1.63
455,CCCCN1c2ccc(cc2Sc2c1cccc2)/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,494.0,704.0,dichloromethane,638.0,12.2,0.72,5.6
456,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,phenothiazine,446.0,608.0,THF,650.0,11.75,0.64,4.86
458,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,506.0,,dichloromethane,652.0,8.65,0.63,3.55
461,CCCCCCN1c2ccc(cc2S(=O)(=O)c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,phenothiazine,416.0,518.0,THF,660.0,12.2,0.68,5.44
463,CCCCCCN1c2ccc(cc2S(=O)(=O)c2c1ccc(c2)c1sc2c(c1)sc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,phenothiazine,424.0,543.0,THF,570.0,10.29,0.67,3.94
475,CCCCCCN1c2ccc(cc2Sc2c1cccc2)C=Cc1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)c1ccccc1,phenothiazine,475.0,,CH2Cl2:MeOH,690.0,9.64,0.6,4.01
476,CCCCCCN1c2ccc(cc2Sc2c1cccc2)C=Cc1ccc(s1)c1ccc(s1)C=C(C(=O)O)C#N,phenothiazine,490.0,,CH2Cl2:MeOH,610.0,10.37,0.59,3.76
478,CCCCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,phenothiazine,,,-,730.0,11.1,0.78,6.3
486,CCN1c2ccc(cc2Sc2c1cccc2)C=CC(=O)O,phenothiazine,381.0,558.0,acetonitrile,628.0,8.09,0.68,3.46
487,CCN1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,phenothiazine,400.0,573.0,acetonitrile,669.0,13.35,0.62,5.53
490,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C1SC(=S)N(C1=O)CC(=O)O)n1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,phenothiazine,464.0,,dichloromethane,658.0,7.59,0.63,3.31
491,CCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C1SC(=S)N(C1=O)CC(=O)O)n1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,phenothiazine,455.0,,dichloromethane,664.0,7.07,0.66,3.1
492,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C=C1SC(=S)N(C1=O)CC(=O)O,phenothiazine,482.0,,dichloromethane,660.0,9.06,0.63,3.58
493,CCCCN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C=C1SC(=S)N(C1=O)CC(=O)O,phenothiazine,481.0,,dichloromethane,648.0,10.03,0.66,4.38
494,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(/C(=O)O)\C#N)c1cc2cc(n3c2c(c1)sc1c3cccc1)c1ccc(cc1)OCCCCCC,phenothiazine,461.0,,dichloromethane,726.0,17.76,0.58,7.54
512,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc2c(c1)scc2,phenothiazine,510.0,,dichloromethane,640.0,7.5,0.65,3.12
514,CCCCCCOc1ccc(cc1)c1cc2c3n1c1ccccc1sc3cc(c2)c1ccc(o1)/C=C(/C(=O)O)\C#N,phenothiazine,418.0,,dichloromethane,705.0,12.6,0.63,5.6
515,CCCCCCOc1ccc(cc1)c1cc2c3n1c1ccccc1sc3cc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,400.0,,dichloromethane,736.0,13.38,0.65,6.42
516,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,465.0,,dichloromethane,599.0,10.47,0.64,4.01
517,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)/C=C(/C(=O)O)\C#N)N1c2ccccc2Sc2c1ccc(c2)C=C1c2ccccc2c2c1cccc2,phenothiazine,427.0,,dichloromethane,679.0,7.01,0.7,3.31
518,CCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)c1ccc(cc1)c1n(CCCCCC)c(=O)c2c1c(=O)n(c2c1ccc(cc1)C#Cc1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)CCCCCC,phenothiazine,,,-,739.0,15.69,0.69,7.94
519,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(o1)C=C1SC(=S)N(C1=O)CC(=O)O,phenothiazine,556.0,,chloroform,487.0,3.6,0.7,1.23
520,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(o1)/C=C(\C(=O)O)/C#N,phenothiazine,553.0,,chloroform,590.0,13.64,0.66,5.31
521,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(s1)C=C1SC(=S)N(C1=O)CC(=O)O,phenothiazine,541.0,,chloroform,451.0,7.3,0.69,2.26
522,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(s1)/C=C(\C(=O)O)/C#N,phenothiazine,536.0,,chloroform,580.0,11.85,0.67,4.61
523,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,482.0,,DMF,634.7,11.6,0.7011,5.2
524,CCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,416.0,,DMF,738.1,10.2,0.6881,5.2
525,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,phenothiazine,490.0,656.0,THF,580.0,3.72,0.66,1.43
528,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)C#Cc1ccc(cc1)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N,phenothiazine,448.0,,THF,796.0,12.49,0.748,7.44
