Name,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
323,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/cssc.201402160,phenothiazine,446.0,608.0,650.0,11.75,0.64,4.86
325,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2016.01.025,phenothiazine,506.0,,652.0,8.65,0.63,3.55
327,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc2c(c1)c1ccccc1n2CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ajoc.201402073,"carbazole, triphenylamine",473.0,,571.0,6.86,0.6920000000000001,2.71
328,CCCCCCN1c2ccc(cc2S(=O)(=O)c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/cssc.201402160,phenothiazine,416.0,518.0,660.0,12.2,0.68,5.44
330,CCCCCCN1c2ccc(cc2S(=O)(=O)c2c1ccc(c2)c1sc2c(c1)sc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/cssc.201402160,phenothiazine,424.0,543.0,570.0,10.29,0.67,3.94
332,CCCCCCN1c2ccc(cc2Sc2c1cccc2)C=Cc1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)c1ccccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1007/s13233-012-0017-2,phenothiazine,475.0,,690.0,9.64,0.6,4.01
333,CCCCCCN1c2ccc(cc2Sc2c1cccc2)C=Cc1ccc(s1)c1ccc(s1)C=C(C(=O)O)C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1007/s13233-012-0017-2,phenothiazine,490.0,,610.0,10.37,0.59,3.76
335,CCCCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c1ee02540f,phenothiazine,,,730.0,11.1,0.78,6.3
343,CCN1c2ccc(cc2Sc2c1cccc2)C=CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.3390/ijms11010329,phenothiazine,381.0,558.0,628.0,8.09,0.68,3.46
344,CCN1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.3390/ijms11010329,phenothiazine,400.0,573.0,669.0,13.35,0.62,5.53
345,N#C/C(=C\c1ccc2c(c1)CCc1c(N2CC)cccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.3390/ijms11010329,Iminodibenzyl,368.0,506.0,620.0,8.28,0.68,3.49
347,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C1SC(=S)N(C1=O)CC(=O)O)n1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.tet.2016.12.019,phenothiazine,464.0,,658.0,7.59,0.63,3.31
348,CCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C1SC(=S)N(C1=O)CC(=O)O)n1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.tet.2016.12.019,phenothiazine,455.0,,664.0,7.07,0.66,3.1
349,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C=C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.tet.2016.12.019,phenothiazine,482.0,,660.0,9.06,0.63,3.58
350,CCCCN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C=C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.tet.2016.12.019,phenothiazine,481.0,,648.0,10.03,0.66,4.38
351,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(/C(=O)O)\C#N)c1cc2cc(n3c2c(c1)sc1c3cccc1)c1ccc(cc1)OCCCCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2016.12.025,phenothiazine,461.0,,726.0,17.76,0.58,7.54
352,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccc(cc1n2CC)c1ccc(s1)/C=C(/C(=O)O)\C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ajoc.201402073,"carbazole, triphenylamine",492.0,,497.0,2.04,0.68,0.69
353,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra06220b,"phenothiazine, carbazole",455.0,,670.0,12.87,0.68,5.86
354,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra06220b,"phenothiazine, carbazole",432.0,,700.0,11.92,0.68,5.67
355,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(cc1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra06220b,"phenothiazine, carbazole",426.0,,730.0,10.98,0.68,5.51
360,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc2c(c1)scc2,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2016.01.025,phenothiazine,510.0,,640.0,7.5,0.65,3.12
362,CCCCCCOc1ccc(cc1)c1cc2c3n1c1ccccc1sc3cc(c2)c1ccc(o1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2016.12.025,phenothiazine,418.0,,705.0,12.6,0.63,5.6
363,CCCCCCOc1ccc(cc1)c1cc2c3n1c1ccccc1sc3cc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2016.12.025,phenothiazine,400.0,,736.0,13.38,0.65,6.42
364,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1007/s10854-016-5146-5,phenothiazine,465.0,,599.0,10.47,0.64,4.01
365,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)/C=C(/C(=O)O)\C#N)N1c2ccccc2Sc2c1ccc(c2)C=C1c2ccccc2c2c1cccc2,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1007/s10854-016-5146-5,phenothiazine,427.0,,679.0,7.01,0.7,3.31
366,CCCCCCOc1ccc(cc1)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)c1ccc(cc1)c1n(CCCCCC)c(=O)c2c1c(=O)n(c2c1ccc(cc1)C#Cc1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)CCCCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/acsami.5b06610,phenothiazine,,,739.0,15.69,0.69,7.94
367,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(o1)C=C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.05.024,phenothiazine,556.0,,487.0,3.6,0.7,1.23
368,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(o1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.05.024,phenothiazine,553.0,,590.0,13.64,0.66,5.31
369,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(s1)C=C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.05.024,phenothiazine,541.0,,451.0,7.3,0.69,2.26
370,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(s1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.05.024,phenothiazine,536.0,,580.0,11.85,0.67,4.61
371,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2011.02.012,phenothiazine,482.0,,634.7,11.6,0.7011,5.2
372,CCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2011.02.012,phenothiazine,416.0,,738.1,10.2,0.6881,5.2
373,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/cssc.201300365,phenothiazine,490.0,656.0,580.0,3.72,0.66,1.43
374,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)C#Cc1ccc(cc1)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/asia.201601427,phenothiazine,448.0,,796.0,12.49,0.748,7.44
375,CCCCn1c2cc(C#Cc3ccc4c(c3)Sc3c(N4CCCCCC)ccc(c3)/C=C(\C(=O)O)/C#N)ccc2c2c1cc(C#Cc1ccc3c(c1)Sc1c(N3CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N)cc2,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/asia.201601427,phenothiazine,413.0,,797.0,11.78,0.7070000000000001,6.64
376,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/asia.201601427,phenothiazine,449.0,,814.0,11.38,0.726,6.72
377,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)C#Cc1ccc(cc1)c1ccc(cc1)C#Cc1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/asia.201601427,phenothiazine,449.0,,764.0,10.9,0.728,6.06
379,N#C/C(=C\c1ccc2c(c1)Sc1c(N2CCCCCCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2016.05.035,phenothiazine,402.0,,695.0,8.817,0.68,4.03
381,N#C/C(=C\c1ccc(cc1)N(c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1166/jnn.2017.14076,phenothiazine,405.0,,675.0,5.76,0.6853,2.66
382,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)N(c2ccc(cc2)N2c3ccccc3Sc3c2cccc3)c2ccc(cc2)/C=C/2\SC(=S)N(C2=O)CC(=O)O)/C1=O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1166/jnn.2017.14076,phenothiazine,476.0,,558.0,2.73,0.7346,1.12
383,CCCCCCCCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc(c2c1nsn2)c1ccc2c(c1)Sc1c(N2CCCCCCCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G,10.1002/cplu.201600492,phenothiazine,486.0,580.0,780.0,15.42,0.68,8.5
384,CCC(CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)C1=CC=C(C1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)c1ccc2c(c1)ccc(c2c1c(OCCCCC(CC)CC)ccc2c1cccc2)OCCCCC(CC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2017.06.068,phenothiazine,472.0,,706.0,7.12,0.5463,2.74
385,CCC(CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)C1=CC=C(C1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)c1ccc2c(c1)ccc(c2)OCCCCC(CC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2017.06.068,phenothiazine,466.0,,734.0,12.06,0.6006,5.32
386,CCC(CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)C1=CC=C(C1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCC(CC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2017.06.068,phenothiazine,471.0,,730.0,12.63,0.6175,5.64
387,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)n1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.electacta.2017.06.151,"phenothiazine,carbazole",417.0,,745.0,13.11,0.66,6.17
388,CCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)n1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.electacta.2017.06.151,"phenothiazine,carbazole",448.0,,739.0,14.68,0.68,7.11
389,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.electacta.2017.06.151,"phenothiazine,carbazole",461.0,,745.0,16.92,0.67,7.97
390,CCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.electacta.2017.06.151,"phenothiazine,carbazole",456.0,,713.0,15.99,0.66,7.55
396,CCCCCCSC1=C(SCCCCCC)SC(=Cc2ccc(cc2)c2ccc(cc2)c2ccc3c(c2)N(CCCC)c2c(S3)ccc(c2)/C=C(/C(=O)O)\C#N)S1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.05.120,phenothiazine,382.0,611.0,780.0,13.84,0.71,7.66
397,CCCCCCOc1cc(ccc1C=C1SC(=C(S1)SCCCCCC)SCCCCCC)c1ccc2c(c1)N(CCCC)c1c(S2)ccc(c1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.05.120,phenothiazine,387.0,615.0,720.0,11.51,0.73,6.05
398,CCCCN1c2cc(ccc2Sc2c1cc(cc2)/C=C(/C(=O)O)\C#N)c1ccc(cc1F)C=C1SC(=C(S1)SCCCCCC)SCCCCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.05.120,phenothiazine,383.0,608.0,780.0,11.86,0.73,6.75
399,CCCCN1c2cc(ccc2Sc2c1cc(cc2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C1SC(=C(S1)SCCCCCC)SCCCCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.05.120,phenothiazine,450.0,634.0,680.0,10.02,0.73,4.97
400,CCCCN1c2cc(ccc2Sc2c1cc(cc2)/C=C(/C(=O)O)\C#N)C=C1SC(=C(S1)SCCCCCC)SCCCCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.05.120,phenothiazine,467.0,642.0,670.0,9.33,0.73,4.56
401,CCCCN1c2cc(ccc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.05.120,phenothiazine,437.0,620.0,730.0,8.6,0.7,4.39
402,CCCCC(CN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(o1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1nc3ccccc3nc1n2CC(CCCC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.06.127,"indoloquinoxaline,phenothiazine",456.0,,745.0,14.2,0.71,7.56
403,CCCCC(CN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1nc3ccccc3nc1n2CC(CCCC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.06.127,"indoloquinoxaline,phenothiazine",484.0,,757.0,15.3,0.71,8.28
404,CCCCC(CN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2016.06.127,phenothiazine,467.0,,705.0,14.0,0.69,6.82
405,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C\c1cc(c2ccc(s2)/C=C(\C(=O)O)/C#N)c(cc1/C=C/c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)c1ccc(s1)C=C(C(=O)O)C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2010.06.013,phenothiazine,395.0,550.0,648.0,10.8,0.6365,4.5
406,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C/c1cc(c(cc1c1ccc(s1)/C=C(/C(=O)O)\C#N)/C=C/c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2010.06.013,phenothiazine,382.0,549.0,528.5,4.8,0.5935,1.5
407,CCCCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)/C=C/c1ccc2c(c1)Sc1c(N2CCCCCCCC)cccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.tet.2012.02.077,"triphenylamine, phenothiazine",409.0,,740.0,11.11,0.59,4.84
408,CCCCCCC(Cc1cc(sc1c1sc2c(c1)c1nonc1c1c2sc(c1)c1sc(cc1CC(CCCCCC)CCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CC)cccc1)CCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/am5067145,phenothiazine,462.0,698.0,690.0,10.92,0.7,5.27
409,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2015.02.001,phenothiazine,530.0,,512.0,7.7,0.67,2.65
410,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)ccc(c1)C1=C(C)C2[N+](=C1C)[B-](F)(F)n1c(C2CCCCC)c(C)c(c1C)c1ccc(o1)/C=C(/C(=O)O)\C#N)C)(F)F)C)c1ccc(o1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2015.02.001,phenothiazine,555.0,,548.0,11.82,0.7,4.52
411,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)ccc(c1)C1=C(C)C2[N+](=C1C)[B-](F)(F)n1c(C2CCCCC)c(C)c(c1C)/C=C(/C(=O)O)\C#N)C)(F)F)C)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2015.02.001,phenothiazine,534.0,,522.0,10.02,0.67,3.52
412,COc1ccc(cc1)N1c2ccc(cc2Oc2c1cccc2)c1ccc(o1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.01.035,phenoxazine,508.0,652.0,660.0,10.8,0.7063,5.09
413,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc(c2c1nc(c1csc(c1)C)c(n2)c1ccc(s1)C)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2016.12.044,carbazole,481.0,,690.0,10.54,0.63,4.63
414,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2016.12.044,carbazole,494.0,,680.0,12.21,0.65,5.46
415,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)c1ccc(s1)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCCCCCN2c3ccccc3Sc3c2ccc(c3)C2=C(C)C3=C(CCCCC)c4n([B-]([N+]3=C2C)(F)F)c(c(c4C)/C=C(/C(=O)O)\C#N)C)cccc1)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.05.079,phenothiazine,535.0,,590.0,12.16,0.68,4.89
416,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCCCCCN2c3ccccc3Sc3c2ccc(c3)C2=C(C)C3=C(CCCCC)c4n([B-]([N+]3=C2C)(F)F)c(c(c4C)/C=C(/C(=O)O)\C#N)C)cccc1)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.05.079,phenothiazine,532.0,,550.0,9.44,0.63,3.24
417,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.05.079,phenothiazine,532.0,,500.0,6.46,0.71,2.28
418,CCCCCC1=C2C(=C(C(=[N+]2[B-](n2c1c(C)c(c2C)/C=C(/C(=O)O)\C#N)(F)F)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.05.079,phenothiazine,532.0,,490.0,6.17,0.71,2.14
419,N#C/C(=C/c1ccc2c(c1)Sc1c(N2CCCCCOc2ccc(cc2)OCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.12.028,phenothiazine,424.0,,756.0,12.26,0.66,6.14
420,N#C/C(=C/c1ccc2c(c1)Sc1c(N2CCCCCOc2cccc(c2)OCCCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.12.028,phenothiazine,414.0,,740.0,11.92,0.66,5.85
