,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,Jm,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
455,8.0,0.0,0.0,0.0,0.0,11.0,0.0,-2.0,583.749,7.822,1015.044,251.09,132.629,595.287,36.038,1851.784,0.0,3.5,0.0330408,0.0,0.7184676,66.576,21.582,25.031,8.147,9.588,-12.986,-12.645,-8.926,547.245,-1.724,406.231,-0.811,7.864,1.589,3.0,2.59,1.0,100.0,0.0,0.0,53.45,3.0,2.0,1.0,30.0,0.0,30.0,0.0,44.0,9.322572810145431e-09,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C#N)C#N)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c7ta01744h,phenothiazine,471.0,,653.0,2.5,0.43,0.7
456,9.0,0.0,0.0,0.0,0.0,13.0,0.0,-2.0,611.803,9.129,1079.486,317.003,130.684,598.063,33.736,1971.912,0.0,3.5,0.0422587,0.0,0.7044872,70.126,22.928,26.256,7.866,10.38,-13.872,-13.24,-9.166,570.982,-1.893,413.134,-0.573,7.835,1.561,3.0,2.854,1.0,100.0,0.0,0.0,53.471,3.0,2.0,1.0,30.0,0.0,30.0,0.0,46.0,2.19793824413539e-09,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C#N)C#N)C#Cc1ccc2c3c1ccc1c3c(cc2)ccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c7ta01744h,phenothiazine,471.0,,700.0,2.5,0.61,1.06
459,13.0,0.0,0.0,2.0,0.0,27.0,0.0,-2.0,991.413,4.155,1574.514,939.15,181.629,339.603,114.132,3092.149,2.0,6.5,0.0055831,0.0058382,0.651917,103.5,34.006,41.689,10.47,16.569,-19.533,-19.906,-5.169,12.042,-3.633,28.439,-1.078,8.047,1.365,8.0,4.271,1.0,100.0,0.0,0.0,91.639,5.0,2.0,3.0,33.0,0.0,33.0,0.0,67.0,2.42547107260929e-15,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/P(=O)(O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.electacta.2013.12.013,carbazole,,,1156.0,6.9,0.64,3.4
462,2.0,0.0,0.0,2.0,0.0,11.0,2.0,-2.0,413.432,8.541,726.191,204.526,317.067,204.597,0.0,1297.082,2.0,7.0,0.0562361,0.0136321,0.7920621,40.646,14.468,21.408,12.413,3.43,-6.082,-6.561,-2.257,0.626,-3.469,0.276,-5.586,8.6,1.417,0.0,-0.057,1.0,43.382,0.0,0.0,152.381,7.0,0.0,2.0,13.0,0.0,13.0,0.0,31.0,8.87609719172246e-07,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.09.007,carbazole,398.0,,760.0,3.07,0.74,1.54
463,10.0,0.0,0.0,1.0,0.0,15.0,1.0,-2.0,712.846,5.561,1156.38,385.921,139.767,630.692,0.0,2219.653,1.0,6.0,0.0139314,0.0051886,0.7116307,79.068,25.308,31.818,11.809,11.071,-13.664,-14.647,-7.398,118.601,-2.18,62.804,-0.434,7.416,1.12,4.0,2.699,1.0,100.0,0.0,0.0,96.343,8.0,2.0,1.0,37.0,0.0,37.0,0.0,54.0,5.69410598481629e-09,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)OC)c1ccccc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.09.007,carbazole,424.0,,710.0,5.04,0.72,2.54
464,14.0,0.0,0.0,2.0,0.0,19.0,2.0,-2.0,807.904,11.928,1319.974,410.309,309.908,599.758,0.0,2486.81,2.0,9.5,0.0572116,0.0101782,0.6725036,86.896,29.887,38.92,17.179,10.333,-14.378,-15.037,-6.076,0.732,-5.15,0.326,-3.294,7.594,1.198,3.0,2.239,1.0,46.142,0.0,0.0,168.703,11.0,3.0,2.0,37.0,0.0,37.0,0.0,61.0,1.72061989767035e-12,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.09.007,carbazole,406.0,,770.0,7.2,0.68,3.23
465,4.0,0.0,0.0,1.0,0.0,6.0,1.0,-2.0,438.484,2.938,811.256,18.735,158.233,634.288,0.0,1419.069,1.0,3.5,0.0060808,0.0043143,0.7527941,52.842,17.523,21.563,10.651,6.903,-9.811,-9.25,-6.749,79.246,-1.66,40.618,-1.625,8.104,1.426,0.0,1.388,1.0,88.396,0.0,0.0,74.845,4.0,1.0,1.0,25.0,0.0,25.0,0.0,34.0,1.606712544908e-06,N#CC(=Cc1ccc(cc1)C#Cc1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2010.11.004,carbazole,375.0,548.0,770.0,1.712,0.6409999999999999,0.695
466,13.0,0.0,0.0,1.0,0.0,24.0,1.0,-2.0,931.335,8.428,1420.3,800.791,146.502,370.615,102.392,2804.613,1.0,5.0,0.0253281,0.0035204,0.677174,94.216,30.257,36.509,7.786,15.34,-18.003,-19.316,-6.716,102.381,-2.762,194.92,-0.61,8.116,1.828,6.0,4.21,1.0,100.0,0.0,0.0,83.291,6.0,2.0,1.0,31.0,0.0,31.0,0.0,64.0,2.27021900524518e-13,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2016.12.044,carbazole,464.0,,700.0,10.29,0.68,4.87
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccc(cc1n2CC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ajoc.201402073,"carbazole, triphenylamine",506.0,,512.0,3.72,0.626,1.21
468,13.0,0.0,0.0,1.0,0.0,12.0,1.0,-2.0,828.082,6.379,1261.692,472.055,163.411,609.284,16.941,2521.974,1.0,4.0,0.0161366,0.0031703,0.7101863,92.889,28.09,36.004,10.775,13.804,-17.067,-18.224,-7.32,70.774,-2.278,44.508,-1.233,7.501,1.824,2.0,4.151,1.0,100.0,0.0,0.0,78.548,5.0,2.0,1.0,44.0,0.0,44.0,2.0,62.0,4.14898571891577e-13,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc2c(c1)c1ccccc1n2CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ajoc.201402073,"carbazole, triphenylamine",474.0,,650.0,8.3,0.691,3.73
469,14.0,0.0,0.0,1.0,0.0,17.0,1.0,-2.0,790.117,10.9,1419.369,833.839,164.905,402.712,17.912,2651.212,1.0,3.5,0.0448171,0.0024659,0.6526786,92.878,29.502,35.13,8.165,14.611,-19.437,-16.99,-7.265,68.502,-2.998,43.495,-1.508,7.73,1.779,2.0,4.417,1.0,100.0,0.0,0.0,79.423,5.0,2.0,1.0,31.0,0.0,31.0,0.0,58.0,8.96971942536578e-16,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ejoc.201300373,carbazole,433.0,,635.0,7.35,0.67,3.64
470,14.0,0.0,0.0,1.0,0.0,17.0,1.0,-2.0,872.237,5.546,1504.419,832.747,164.39,446.578,60.704,2836.608,1.0,3.5,0.0108432,0.0023265,0.6441629,100.716,32.099,37.667,8.679,16.032,-21.221,-19.023,-7.612,69.277,-2.953,75.533,-1.344,7.847,1.955,3.0,4.95,1.0,100.0,0.0,0.0,78.524,5.0,2.0,1.0,36.0,0.0,36.0,0.0,63.0,2.3738270869217502e-17,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ejoc.201300373,carbazole,457.0,,666.0,9.7,0.68,4.8
471,16.0,0.0,0.0,1.0,0.0,17.0,1.0,-2.0,954.357,10.632,1633.188,834.314,165.038,559.361,74.476,3063.624,1.0,3.5,0.0368978,0.002143,0.6246245,110.878,35.875,41.687,9.766,17.685,-23.703,-21.058,-8.466,68.304,-3.098,88.5,-0.959,7.801,2.003,4.0,5.601,1.0,100.0,0.0,0.0,79.434,5.0,2.0,1.0,41.0,0.0,41.0,0.0,68.0,2.0797614728178e-19,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ejoc.201300373,carbazole,443.0,,601.0,11.31,0.71,5.69
472,15.0,0.0,0.0,1.0,0.0,17.0,1.0,-2.0,948.334,5.692,1632.491,829.996,164.493,583.834,54.169,3079.293,1.0,3.5,0.0105203,0.002144,0.6270201,111.739,35.93,41.601,9.92,17.743,-23.602,-20.991,-8.544,69.122,-3.117,69.389,-0.862,7.811,1.673,3.0,5.646,1.0,100.0,0.0,0.0,79.146,5.0,2.0,1.0,42.0,0.0,42.0,0.0,69.0,3.25956256943035e-19,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ejoc.201300373,carbazole,416.0,,612.0,9.94,0.69,4.82
473,14.0,0.0,0.0,1.0,0.0,11.0,1.0,-2.0,1141.557,4.959,1821.456,782.562,160.089,788.751,90.054,3512.318,1.0,4.0,0.0070029,0.002196,0.6134921,134.878,42.126,50.61,13.567,20.734,-28.059,-25.877,-9.74,76.099,-2.714,121.062,-0.635,7.829,1.973,4.0,7.026,1.0,100.0,0.0,0.0,79.577,6.0,2.0,1.0,59.0,0.0,59.0,0.0,83.0,2.30761071180106e-23,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/ejoc.201300373,carbazole,487.0,,750.0,9.98,0.67,4.62
474,11.0,0.0,0.0,1.0,0.0,15.0,1.0,-2.0,787.122,5.819,1331.078,604.174,161.61,467.931,97.363,2466.68,1.0,3.5,0.0137257,0.0026294,0.6632898,87.4,28.469,33.376,8.842,13.817,-18.452,-17.046,-7.404,73.613,-2.551,128.073,-1.409,8.08,1.822,6.0,3.974,1.0,100.0,0.0,0.0,77.36,4.0,2.0,1.0,33.0,0.0,33.0,0.0,54.0,1.0825128541113e-14,CCCCCCc1cc(sc1c1ccc(s1)c1ccc2c(c1)c1ccccc1n2CC)c1sc(c(c1)CCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G,10.1021/cm8003276,"carbazole,hexylthiophene",474.0,,740.0,5.72,0.48,2.03
475,12.0,0.0,0.0,1.0,0.0,14.0,1.0,-2.0,739.973,6.556,1203.197,425.226,157.2,605.224,15.547,2313.704,1.0,4.0,0.0185767,0.0033245,0.7031267,83.231,26.38,32.386,10.123,12.485,-15.643,-16.012,-7.415,81.054,-2.362,50.637,-0.941,7.785,1.824,3.0,3.468,1.0,100.0,0.0,0.0,79.359,5.0,2.0,1.0,37.0,0.0,37.0,1.0,55.0,1.9320814040368798e-11,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1)c1ccccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2015.07.034,"fluorene, carbazole",483.0,575.0,562.0,8.25,0.64,2.98
476,13.0,0.0,0.0,1.0,0.0,14.0,1.0,-2.0,856.136,10.2,1269.777,459.89,166.005,611.651,32.232,2575.985,1.0,4.0,0.0403887,0.0031502,0.7157032,93.789,28.549,36.754,10.393,14.199,-16.96,-18.815,-7.242,66.877,-2.362,50.771,-1.08,7.773,1.849,2.0,4.222,1.0,100.0,0.0,0.0,79.393,5.0,2.0,1.0,44.0,0.0,44.0,2.0,64.0,7.81102363088454e-13,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2015.07.034,"fluorene, carbazole",497.0,581.0,666.0,15.6,0.62,6.44
477,13.0,0.0,0.0,1.0,0.0,14.0,1.0,-2.0,822.093,10.201,1309.721,421.018,166.019,661.386,61.299,2524.529,1.0,4.0,0.0412237,0.0030541,0.6846045,92.204,29.495,36.126,10.837,14.028,-17.834,-18.042,-7.982,66.857,-2.491,73.232,-0.905,7.803,1.973,4.0,4.069,1.0,100.0,0.0,0.0,79.397,5.0,2.0,1.0,42.0,0.0,42.0,1.0,60.0,1.49966670187492e-13,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1)c1ccccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2015.07.034,"fluorene, carbazole",490.0,577.0,616.0,16.2,0.61,6.1
478,13.0,0.0,0.0,1.0,0.0,14.0,1.0,-2.0,938.255,6.646,1425.144,515.734,164.709,698.895,45.805,2818.831,1.0,4.0,0.0156672,0.0028067,0.6771514,104.341,32.423,40.065,11.356,15.931,-19.929,-20.849,-8.282,68.796,-2.563,62.123,-0.749,7.717,1.96,3.0,4.912,1.0,100.0,0.0,0.0,79.385,5.0,2.0,1.0,49.0,0.0,49.0,2.0,69.0,1.9709583642797703e-15,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2015.07.034,"fluorene, carbazole",497.0,578.0,630.0,12.5,0.61,4.77
479,10.0,0.0,0.0,1.0,0.0,20.0,1.0,-2.0,789.163,6.842,1277.945,725.892,157.47,335.361,59.222,2493.886,1.0,3.5,0.0187704,0.0027388,0.6959382,84.012,26.542,31.99,6.668,13.727,-16.476,-16.79,-6.244,80.578,-2.664,87.288,-1.32,8.09,1.481,6.0,3.845,1.0,100.0,0.0,0.0,75.625,4.0,2.0,1.0,28.0,0.0,28.0,0.0,55.0,1.26213844744593e-12,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1143/jjap.51.10ne14,carbazole,480.0,,760.0,7.09,0.71,3.9
480,13.0,0.0,0.0,1.0,0.0,25.0,1.0,-2.0,963.334,7.107,1417.965,848.103,143.181,338.967,87.714,2849.209,1.0,10.3,0.0177273,0.0072639,0.6854606,95.056,30.014,39.493,12.537,13.146,-15.331,-17.788,-6.431,110.082,-2.76,175.182,-0.564,8.087,1.694,12.0,3.042,1.0,100.0,0.0,0.0,110.364,8.0,2.0,2.0,33.0,0.0,33.0,0.0,66.0,1.22570516053322e-10,COCCCCc1cc(sc1c1sc(c(c1)CCCCOC)c1sc(c(c1)CCCCOC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCOC)c1ccc2c(c1)c1ccccc1n2CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1143/jjap.51.10ne14,carbazole,469.0,,710.0,5.65,0.72,2.9
481,14.0,0.0,0.0,1.0,0.0,25.0,1.0,-2.0,959.388,7.865,1411.427,838.242,149.201,340.759,83.224,2891.804,1.0,6.9,0.0213919,0.0048887,0.6954821,96.778,30.072,38.446,9.224,14.917,-16.731,-19.195,-6.277,96.521,-2.795,143.611,-0.669,8.07,1.733,10.0,3.972,1.0,100.0,0.0,0.0,94.77,6.0,2.0,2.0,33.0,0.0,33.0,0.0,66.0,3.82487300924685e-12,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCOC)c1sc(cc1CCCCOC)c1ccc2c(c1)c1ccccc1n2CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1143/jjap.51.10ne14,carbazole,485.0,,770.0,7.11,0.73,4.0
483,4.0,0.0,0.0,1.0,0.0,6.0,1.0,-2.0,444.507,4.68,797.488,16.572,159.929,576.31,44.677,1386.708,1.0,3.5,0.0157926,0.0043888,0.7541032,50.993,17.118,21.184,10.251,6.786,-9.752,-9.315,-6.452,76.364,-1.563,68.559,-1.861,8.152,1.839,1.0,1.297,1.0,87.423,0.0,0.0,75.041,4.0,1.0,1.0,24.0,0.0,24.0,0.0,33.0,1.08407500786886e-06,N#CC(=Cc1ccc(s1)C#Cc1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2010.11.004,carbazole,409.0,555.0,555.0,2.186,0.626,0.8190000000000001
484,10.0,0.0,0.0,1.0,0.0,10.0,1.0,-2.0,649.824,6.417,1025.827,162.382,164.473,636.525,62.447,1936.149,1.0,4.0,0.0212664,0.0038993,0.7323466,70.988,23.063,28.656,10.857,10.213,-13.195,-14.061,-7.091,69.152,-1.93,77.062,-1.348,7.864,1.919,5.0,2.567,1.0,93.754,0.0,0.0,79.283,5.0,2.0,1.0,35.0,0.0,35.0,0.0,47.0,1.8613872143486602e-09,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.tetlet.2013.05.069,carbazole,489.0,579.0,630.0,18.1,0.6,6.83
485,7.0,0.0,0.0,1.0,0.0,10.0,1.0,-2.0,567.704,7.951,970.297,189.177,166.01,582.351,32.759,1774.647,1.0,4.0,0.0356274,0.0041225,0.7305813,64.008,21.037,26.108,10.355,8.982,-12.035,-12.039,-6.861,66.869,-2.032,51.103,-1.568,7.911,1.831,4.0,2.108,1.0,86.285,0.0,0.0,79.375,5.0,2.0,1.0,30.0,0.0,30.0,0.0,42.0,1.41710689491292e-08,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.tetlet.2013.05.069,carbazole,472.0,572.0,660.0,15.3,0.6,6.05
486,3.0,0.0,0.0,1.0,0.0,7.0,1.0,-2.0,455.515,8.433,801.125,12.978,153.577,634.57,0.0,1439.945,1.0,4.0,0.0493919,0.004993,0.7697724,53.038,17.575,22.535,10.869,6.859,-9.262,-9.519,-6.476,87.727,-1.586,45.336,-1.442,8.105,1.033,2.0,1.302,1.0,88.925,0.0,0.0,77.308,5.0,1.0,1.0,27.0,0.0,27.0,0.0,35.0,8.9958977316241e-06,N#C/C(=C/c1cn(c2c1cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2015.10.024,triphenylamine,375.0,,680.0,4.39,0.71,2.15
487,1.0,0.0,0.0,1.0,0.0,5.0,1.0,-2.0,290.321,6.59,560.876,134.164,158.158,268.555,0.0,960.342,1.0,3.5,0.0452231,0.0062402,0.8392965,31.633,10.32,14.367,7.781,3.568,-5.421,-5.484,-3.606,79.376,-1.235,40.689,-3.008,8.295,1.064,0.0,0.182,3.0,81.84,0.0,0.0,74.862,4.0,0.0,0.0,13.0,0.0,13.0,0.0,22.0,0.0010795385174252,N#CC(=Cc1ccc2c(c1)c1ccccc1n2CC)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.3390/ijms11010329,carbazole,385.0,504.0,595.0,5.76,0.71,2.43
488,4.0,0.0,0.0,1.0,0.0,9.0,1.0,-2.0,461.562,7.97,838.146,249.864,164.726,423.556,0.0,1507.663,1.0,3.5,0.0421324,0.0041759,0.7586618,52.449,16.884,21.568,8.665,7.184,-9.818,-9.55,-5.65,68.771,-1.887,34.847,-2.199,8.234,1.048,0.0,1.512,1.0,88.934,0.0,0.0,78.6,5.0,1.0,1.0,22.0,0.0,22.0,0.0,35.0,4.43506726633148e-07,CCCCCCn1c2ccc(cc2c2c1cccc2)n1cc(c2c1cccc2)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2015.10.024,"carbazole, indole",389.0,,670.0,4.18,0.74,2.09
513,11.0,0.0,0.0,1.0,0.0,15.0,1.0,-2.0,787.122,5.26,1344.645,610.916,163.597,472.146,97.986,2473.888,1.0,3.5,0.0111843,0.0026029,0.6578759,87.728,28.753,33.425,8.917,13.856,-18.709,-17.046,-7.512,70.487,-2.62,123.169,-1.431,8.092,1.824,6.0,3.993,1.0,100.0,0.0,0.0,77.366,4.0,2.0,1.0,33.0,0.0,33.0,0.0,54.0,5.695030540585211e-15,CCCCCCc1cc(sc1c1ccc(s1)c1ccc(s1)c1sc(cc1CCCCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)c1ccccc1n2CC,Iodide_Triiodide,TiO2,AM 1.5G,10.1021/cm8003276,"carbazole,hexylthiophene",473.0,,670.0,10.16,0.64,4.36
490,15.0,0.0,0.0,1.0,0.0,33.0,1.0,-2.0,1074.634,8.562,1880.537,1298.592,133.235,382.921,65.788,3603.36,1.0,3.5,0.0203431,0.0018612,0.6044425,120.52,40.223,43.75,5.412,21.175,-25.72,-23.243,-7.951,136.782,-3.695,168.005,0.542,7.577,1.75,7.0,6.476,1.0,100.0,0.0,0.0,77.421,5.0,2.0,2.0,35.0,0.0,35.0,0.0,76.0,7.14324539154063e-20,CCCCCCCCn1c2ccc(cc2c2c1cc1c3ccccc3n(c1c2)CCCCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G,10.1021/jp808536v,indolocarbazole,501.0,,700.0,15.5,0.62,6.7
491,13.0,0.0,0.0,1.0,0.0,28.0,1.0,-2.0,908.354,5.463,1564.999,1064.996,106.964,345.334,47.706,3025.238,1.0,3.5,0.0098655,0.0022364,0.646384,100.235,32.472,36.71,5.315,17.488,-20.513,-19.427,-7.093,242.753,-2.714,248.631,0.414,7.58,1.683,5.0,5.026,1.0,100.0,0.0,0.0,77.649,5.0,2.0,1.0,30.0,0.0,30.0,0.0,65.0,7.23376125611259e-15,CCCCCCCCn1c2ccc(cc2c2c1cc1c3ccccc3n(c1c2)CCCCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N,Iodide_Triiodide,TiO2,AM 1.5G,10.1021/jp808536v,indolocarbazole,492.0,,710.0,15.4,0.67,7.3
493,14.0,0.0,0.0,1.0,0.0,24.0,1.0,-2.0,897.305,8.448,1586.342,925.737,178.235,405.281,77.089,2950.604,1.0,5.5,0.02419,0.0034671,0.6271557,100.389,33.761,38.503,9.121,15.771,-20.772,-18.44,-7.69,51.203,-3.715,66.986,-1.072,8.247,1.703,5.0,4.498,1.0,100.0,0.0,0.0,98.698,6.0,2.0,1.0,32.0,0.0,32.0,0.0,63.0,1.28261650982057e-16,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)c1nc3ccccc3nc1n2CC(CCCC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2015.01.148,quinoxaline,480.0,,708.0,16.0,0.67,7.62
494,12.0,0.0,0.0,1.0,0.0,17.0,1.0,-2.0,786.045,8.606,1295.223,595.871,181.154,497.794,20.403,2465.003,1.0,5.5,0.0300473,0.0042464,0.6813428,86.334,27.726,34.177,10.594,12.509,-16.226,-16.278,-7.255,48.042,-3.013,30.587,-1.472,7.966,1.477,2.0,3.419,1.0,100.0,0.0,0.0,100.224,7.0,2.0,1.0,35.0,0.0,35.0,0.0,58.0,1.57384081399657e-12,CCCCC(Cn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)c1nc3ccccc3nc1n2CC(CCCC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2015.01.148,"quinoxaline,carbazole",465.0,,701.0,14.8,0.63,6.48
