,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE,Molecule Graph
710,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1ccc2c(c1)c1ccccc1n2CC)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,473.0,,chloroform,740.0,14.0,0.74,7.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33990>
711,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2CC)/C(=O)O,carbazole,443.0,,chloroform,630.0,10.8,0.71,4.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC339E0>
715,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1ccc2c(c1)c1ccccc1n2CC)c1sc(cc1CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,463.0,,chloroform,710.0,11.1,0.71,5.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33A30>
717,N#CC(=Cc1ccc(cc1)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,carbazole,350.0,495.0,CHCl3-CH3OH,690.0,5.41,0.63,2.35,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33A80>
719,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc(cc1)C=C(c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)n1c2ccccc2c2c1cccc2,carbazole,462.0,537.0,Dichloromethane,793.0,10.76,0.64,5.51,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33AD0>
720,CCCCCCn1c2ccc(cc2c2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc(cc1)C=C(c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)n1c2ccccc2c2c1cccc2,carbazole,412.0,551.0,Dichloromethane,682.0,4.55,0.69,2.14,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33B20>
724,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1sc(cc1c1ccc(cc1)OC)c1ccc(cc1)OC,carbazole,395.0,,CH2Cl2,650.0,3.3,0.67,1.44,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33B70>
725,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)OC,carbazole,436.0,,CH2Cl2,750.0,8.59,0.71,4.57,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33BC0>
726,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)OC,carbazole,408.0,,CH2Cl2,740.0,4.7,0.73,2.52,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33C10>
727,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(cc1)OC)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,459.0,,CH2Cl2,760.0,8.47,0.7,4.54,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33C60>
728,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OC,carbazole,407.0,,CH2Cl2,720.0,3.69,0.7,1.87,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33CB0>
729,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,carbazole,489.0,601.0,CHCl3-CH3OH,630.0,11.27,0.61,4.35,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33D00>
730,N#CC(=Cc1ccc(o1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,carbazole,489.0,596.0,CHCl3-CH3OH,680.0,12.22,0.6,4.96,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33D50>
731,N#CC(=Cc1ccc(cc1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,carbazole,443.0,565.0,CHCl3-CH3OH,700.0,9.14,0.63,4.05,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33DA0>
732,N#CC(=Cc1ccc(s1)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,carbazole,411.0,528.0,ethanol,700.0,9.26,0.63,4.14,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33DF0>
733,N#CC(=Cc1ccc(o1)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,carbazole,390.0,480.0,CHCl3-CH3OH,710.0,8.43,0.63,3.74,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33E40>
734,N#CC(=Cc1ccc2c(c1)c1cc(ccc1n2CC)c1ccc(cc1)C=C(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C)C(=O)O,carbazole,374.0,,chloroform,611.0,4.5,0.68,1.9,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33E90>
740,CCCCCCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,470.0,610.0,THF,701.0,10.52,0.68,5.01,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33EE0>
742,CCCCCCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,453.0,559.0,THF,712.0,9.36,0.67,4.47,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33F30>
744,CCCCCCCCC(n1c2ccc(cc2c2c1ccc(c2)c1sc(cc1CCCCCC)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc(s1)/C=C(\C(=O)O)/C#N)CCCCCCCC,carbazole,470.0,610.0,THF,570.0,7.44,0.67,2.82,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC33F80>
745,CCCCCCCCC(n1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)CCCCCCCC,carbazole,484.0,617.0,THF,600.0,11.74,0.63,4.41,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37030>
746,CCCCCCCCC(n1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)CCCCCCCC,carbazole,480.0,582.0,THF,620.0,10.12,0.68,4.26,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37080>
747,CCCCCCn1c2ccc(cc2c2c1ccc(c2)c1sc(cc1CCCCCC)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc(s1)/C=C(\C(=O)O)/C#N,carbazole,455.0,600.0,THF,640.0,10.63,0.67,4.55,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC370D0>
748,CCCCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,carbazole,468.0,606.0,THF,550.0,9.99,0.66,3.64,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37120>
749,CCCCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,carbazole,470.0,606.0,THF,610.0,12.66,0.62,4.82,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37170>
764,CCCCOc1ccc(cc1)N(c1ccc2c(c1)n(CCCC)c1c2ccc(c1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCC,carbazole,485.0,570.0,dichloromethane,634.0,14.6,0.62,5.76,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC371C0>
765,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccc(s1)/C=C(/C(=O)O)\C#N)N(c1ccc(cc1)OCCCC)c1ccc(cc1)OCCCC,carbazole,495.0,565.0,dichloromethane,520.0,4.47,0.58,1.36,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37210>
770,CCCCCCCCOc1ccc(cc1)c1c2c3ccccc3n(c2c(c2c1n(CCCCCCCC)c1c2cc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCCCC)CCCCCCCC,carbazole,485.0,,dichloromethane,757.0,14.1,0.71,7.58,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37260>
771,CCCCCCCCn1c2ccc(cc2c2c1c(c1ccc(cc1)OCC)c1c(c2c2ccc(cc2)OCC)n(c2c1cccc2)CCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,505.0,,dichloromethane,738.0,13.9,0.68,6.98,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC372B0>
772,CCCCCCCCn1c2ccc(cc2c2c1c(c1ccc(cc1)N(CC)CC)c1c(c2c2ccc(cc2)N(CC)CC)n(c2c1cccc2)CCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,500.0,,dichloromethane,745.0,15.2,0.71,8.09,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37300>
773,CCCCCCCCn1c2ccc(cc2c2c1c(c1ccc(cc1)CC)c1c(c2c2ccc(cc2)CC)n(c2c1cccc2)CCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,476.0,,dichloromethane,729.0,12.6,0.68,6.25,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37350>
774,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)C=C(C(=O)O)C#N)c1cc2c(c3c1cccc3)n(c1c2cc(OC)cc1)C(CCCCC)CC,carbazole,477.0,,dichloromethane,744.0,14.8,0.68,7.54,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC373A0>
775,CCCCCC(n1c2ccc(cc2c2c1c1ccccc1c(c2)c1ccc(o1)C=C(C(=O)O)C#N)OC)CC,carbazole,462.0,,dichloromethane,757.0,13.8,0.66,6.93,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC373F0>
776,CCCCCC(n1c2ccc(cc2c2c1c1ccccc1c(c2)c1ccc(s1)C=C(C(=O)O)C#N)OC)CC,carbazole,458.0,,dichloromethane,729.0,12.4,0.66,6.01,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37440>
777,N#C/C(=C\c1ccc(s1)c1ccc(cc1)c1cc2c3c(c1)c1ccccc1n3c1c2cccc1)/C(=O)O,carbazole,376.0,576.0,dichloromethane,640.0,7.57,0.5282,2.55,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37490>
778,N#C/C(=C\c1ccc(cc1)c1ccc(cc1)c1cc2c3c(c1)c1ccccc1n3c1c2cccc1)/C(=O)O,carbazole,379.0,553.0,dichloromethane,620.0,4.04,0.6385,1.59,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC374E0>
779,N#C/C(=C\c1ccc(s1)c1cc2c3c(c1)c1ccccc1n3c1c2cccc1)/C(=O)O,carbazole,382.0,476.0,dichloromethane,660.0,9.78,0.5664,3.68,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37530>
780,N#C/C(=C\c1ccc(cc1)c1cc2c3c(c1)c1ccccc1n3c1c2cccc1)/C(=O)O,carbazole,376.0,522.0,dichloromethane,690.0,7.05,0.5265,2.56,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37580>
781,N#C/C(=C/c1ccc(cc1)n1c2ccccc2c2c1cccc2)/C(=O)O,carbazole,401.0,,dichloromethane,586.0,4.25,0.71,1.77,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC375D0>
782,CCCCCCOc1cc(OCCCCCC)ccc1c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCCCCCC)OCCCCCC)c1ccc(cc1)/C=c/1\s/c(=C(/C(=O)O)\C#N)/nc1c1ccccc1,triphenylamine,628.0,,dichloromethane,560.0,12.6,0.723,5.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37620>
783,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(s1)n1c2ccc(cc2c2c1ccc(c2)n1c2ccccc2c2c1cccc2)n1c2ccccc2c2c1cccc2)/C(=O)O,carbazole,465.0,,dichloromethane,643.0,10.65,0.71,4.86,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37670>
784,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(s1)n1c2ccccc2c2c1cccc2)/C(=O)O,carbazole,467.0,,dichloromethane,586.0,9.98,0.74,4.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC376C0>
785,N#C/C(=C\c1ccc(s1)c1ccc(s1)n1c2ccccc2c2c1cccc2)/C(=O)O,carbazole,440.0,,dichloromethane,589.0,6.7,0.74,2.94,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37710>
786,N#C/C(=C\c1ccc(s1)c1ccc(cc1)n1c2ccccc2c2c1cccc2)/C(=O)O,carbazole,416.0,,dichloromethane,601.0,6.17,0.74,2.74,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37760>
794,CCCCCCn1c2ccc(cc2c2c1cccc2)c1cc(sc1c1sc(c(c1)c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc2c(c1)c1ccccc1n2CCCCCC)/C=C(/C(=O)O)\C#N,carbazole,492.0,,dichloromethane,650.0,9.32,0.7,4.24,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC377B0>
795,CCCCCCC(Cc1cc(sc1c1sc2c(c1)c1nonc1c1c2sc(c1)c1sc(cc1CC(CCCCCC)CCCC)c1ccc2c(c1)c1ccccc1n2CC)/C=C(/C(=O)O)\C#N)CCCC,carbazole,462.0,702.0,THF,680.0,12.43,0.72,5.98,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37800>
796,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1sc2c(c1)c1nn(nc1c1c2sc(c1)c1ccc2c(c1)n(CC(CCCC)CC)c1c2cccc1)CC(CCCC)CC,carbazole,,,-,725.0,14.46,0.72,8.51,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37850>
804,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1cc2c(s1)c1c(n2c2ccc3c(c2)C(CCCC)(CCCC)c2c3cccc2)cc(s1)/C=C(\C(=O)O)/C#N,carbazole,496.0,,THF,676.6,12.57,0.63,5.39,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC378A0>
813,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,488.0,575.0,dichloromethane,596.0,11.5,0.61,4.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC378F0>
814,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,carbazole,500.0,545.0,dichloromethane,536.0,6.02,0.53,1.78,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37940>
819,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cnccn1,carbazole,402.0,477.0,"1,4-dioxane",550.0,4.48,0.64,1.58,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37990>
820,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cnccn1,carbazole,402.0,478.0,"1,4-dioxane",448.0,2.99,0.67,0.89,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC379E0>
821,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,carbazole,396.0,467.0,"1,4-dioxane",568.0,7.04,0.59,2.35,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37A30>
822,OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)c1ccncc1)N(c1ccccc1)c1ccccc1,carbazole,375.0,425.0,"1,4-dioxane",568.0,5.16,0.62,1.81,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37A80>
823,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,carbazole,396.0,464.0,"1,4-dioxane",548.0,5.63,0.6,1.84,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37AD0>
824,c1ccc(cc1)N(c1ccc2c(c1)[nH]c1c2ccc(c1)c1ccc(s1)c1ccncc1)c1ccccc1,carbazole,394.0,465.0,"1,4-dioxane",540.0,5.8,0.6,1.89,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37B20>
825,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccncc1)N(c1ccccc1)c1ccccc1,carbazole,375.0,423.0,"1,4-dioxane",522.0,3.35,0.62,1.15,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37B70>
826,c1ccc(cc1)N(c1ccc2c(c1)[nH]c1c2ccc(c1)c1ccncc1)c1ccccc1,carbazole,372.0,423.0,"1,4-dioxane",524.0,3.16,0.63,1.04,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37BC0>
827,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C(=O)O,carbazole,376.0,442.0,"1,4-dioxane",520.0,3.07,0.61,0.97,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37C10>
830,OC(=O)c1ccc(cc1)c1ccc2c(c1)[nH]c1c2ccc(c1)N(c1ccccc1)c1ccccc1,carbazole,374.0,438.0,"1,4-dioxane",503.0,2.96,0.61,0.91,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37C60>
846,CCCCCCc1cc(sc1c1sc(cc1CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,carbazole,,,-,600.0,13.7,0.42,3.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37CB0>
849,CCCCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,carbazole,497.0,647.0,THF,620.0,7.92,0.68,3.34,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37D00>
874,CCCCCCC(Cc1cc(sc1c1cc2c(s1)c1sc(cc1c1c2non1)c1sc(cc1CC(CCCCCC)CCCC)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCC,triphenylamine,462.0,658.0,THF,700.0,12.6,0.71,6.18,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37D50>
883,N#C/C(=C\c1ccc2c(n1)ccc(c2)n1c2ccc(cc2c2c1ccc(c2)OC)OC)/C(=O)O,carbazole,452.0,550.0,chloroform,580.0,2.09,0.62,0.75,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37DA0>
884,CCCCCCCCCCCCn1c2ccccc2c2c1ccc(c2)c1nc2ccc(cc2nc1c1ccc2c(c1)c1ccccc1n2CCCCCCCCCCCC)c1ccc(s1)C=C(C(=O)O)C#N,carbazole,445.0,,dichloromethane,600.0,5.84,0.62,2.17,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37DF0>
885,CCCCCCn1c2ccccc2c2c1ccc(c2)c1nc2ccc(cc2nc1c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc(s1)C=C(C(=O)O)C#N,carbazole,425.0,,dichloromethane,660.0,8.91,0.55,3.17,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37E40>
886,CCCCn1c2ccc(cc2c2c1cccc2)c1nc2cc(ccc2nc1c1ccc2c(c1)c1ccccc1n2CCCC)c1ccc(s1)C=C(C(=O)O)C#N,carbazole,435.0,,dichloromethane,680.0,10.41,0.6,4.27,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37E90>
887,N#CC(=Cc1ccc(s1)c1ccc2c(c1)nc(c(n2)c1ccc2c(c1)c1ccccc1n2CC)c1ccc2c(c1)c1ccccc1n2CC)C(=O)O,carbazole,445.0,,dichloromethane,620.0,7.31,0.57,2.58,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37EE0>
895,CCCCCCCCn1c2ccccc2c2c1ccc1c2c2c3cc(ccc3n(c2cc1)CCCCCCCC)/C=C(/C(=O)O)\C#N,carbazole,435.0,556.0,chloroform,660.0,8.4,0.57,3.18,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37F30>
899,CCCCCCn1c2ccc(cc2c2c1cccc2)c1c(/C=C(/C(=O)O)\C#N)sc(c1c1ccc2c(c1)c1ccccc1n2CCCCCC)/C=C(/C(=O)O)\C#N,carbazole,393.0,,chloroform,696.0,6.3,0.7,3.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC37F80>
906,N#C/C(=C\c1sc(c2c1OCC(CO2)(C)C)c1sc(c2c1OCC(CO2)(C)C)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,499.0,,THF,756.0,9.54,0.62,4.45,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A030>
909,N#CC(=Cc1ccc(cc1)C#Cc1ccc2c(c1)n(c1ccc(cc1)C(F)(F)F)c1c2ccc(c1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,carbazole,395.0,524.0,dichloromethane,617.0,6.24,0.7020000000000001,2.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A080>
912,N#CC(=Cc1ccc(cc1)C#Cc1ccc2c(c1)n(c1ccc(cc1)C(F)(F)F)c1c2ccc(c1)C#Cc1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,carbazole,385.0,545.0,dichloromethane,642.0,5.96,0.705,2.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A0D0>
913,N#CC(=Cc1ccc(cc1)C#Cc1ccc(s1)c1ccc(s1)C#Cc1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,carbazole,420.0,540.0,dichloromethane,523.0,7.03,0.605,2.23,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A120>
917,CCCCn1c(nc2c1c1cccc3c1c1c2cccc1cc3)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,imidazole,405.0,597.0,THF,545.0,8.8,0.71,3.41,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A170>
933,N#C/C(=C\c1ccc2c(c1)c1c(n2C)ccc2c1c1c3ccccc3n(c1cc2)C)/C(=O)O,carbazole,435.0,561.0,chloroform,560.0,7.46,0.6,2.49,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A1C0>
938,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(cc1)C(=O)O)c1ccc(s1)c1ccc(cc1)C(=O)O,carbazole,383.0,461.0,"1,4-dioxane",480.0,4.6,0.62,1.37,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A210>
939,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccncc1,carbazole,378.0,448.0,"1,4-dioxane",542.0,5.88,0.64,2.04,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A260>
940,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(c(c1)O)O)c1ccc(s1)c1ccc(c(c1)O)O,carbazole,370.0,412.0,"1,4-dioxane",304.0,0.47,0.49,0.07,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A2B0>
941,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccc(cc1)C(=O)O,carbazole,378.0,464.0,"1,4-dioxane",485.0,5.28,0.62,1.51,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A300>
942,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccc(c(c1)O)O,carbazole,373.0,465.0,"1,4-dioxane",299.0,0.4,0.48,0.06,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A350>
943,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccccc1)c1ccccc1)c1ccc(c(c1)O)O,carbazole,364.0,,THF,416.0,1.51,0.5,0.31,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A3A0>
944,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,carbazole,395.0,,THF,523.0,4.76,0.59,1.47,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A3F0>
946,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccccc1)c1ccccc1)c1ccc(c(c1)O)O.CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1,carbazole,,,-,400.0,1.0,0.51,0.21,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A440>
950,CCCCCCSc1ccc(cc1)N(c1ccc(cc1)SCCCCCC)c1ccc(cc1)c1sc(c2c1OCC(CO2)(CCCCC)CCCCC)c1sc2c(n1)sc(n2)c1sc(c2c1OCC(CO2)(CCCCC)CCCCC)c1ccc(s1)C=C(C(=O)O)C#N,triphenylamine,510.0,573.0,THF,716.0,16.2,0.63,7.39,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A490>
951,CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccncc1.CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccccc1)c1ccccc1)c1ccc(c(c1)O)O,carbazole,,,-,492.0,1.61,0.55,0.43,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A4E0>
966,CCCCCCCCc1cc(sc1c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)c1cc(c(s1)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CCCCCCCC,triphenylamine,534.0,,dichloromethane,674.0,10.99,0.77,5.67,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3A530>
